day,group,antibiotics,gavage,challenge,sample_collection,important,treatment
-42,kleb_before,yes,,,,yes,antibiotics
-41,kleb_before,yes,,,,,antibiotics
-40,kleb_before,yes,,,,,antibiotics
-39,kleb_before,yes,,,,,antibiotics
-38,kleb_before,yes,,,,,antibiotics
-37,kleb_before,,,,,,off_antibiotics
-36,kleb_before,,yes,,,yes,off_antibiotics
-35,kleb_before,,yes,,,yes,off_antibiotics
-34,kleb_before,,yes,,,yes,off_antibiotics
0,kleb_after,,,yes,yes,yes,off_antibiotics
1,kleb_after,,,,yes,,off_antibiotics
2,kleb_after,,,,,,off_antibiotics
3,kleb_after,,,,yes,,off_antibiotics
4,kleb_after,,,,,,off_antibiotics
5,kleb_after,,,,,,off_antibiotics
6,kleb_after,,,,,,off_antibiotics
7,kleb_after,,,,yes,yes,off_antibiotics
-6,kleb_control,yes,,,,yes,antibiotics
-5,kleb_control,yes,,,,,antibiotics
-4,kleb_control,yes,,,,,antibiotics
-3,kleb_control,yes,,,,,antibiotics
-2,kleb_control,yes,,,,,antibiotics
-1,kleb_control,,,,,,off_antibiotics
0,kleb_control,,,yes,yes,yes,off_antibiotics
1,kleb_control,,,,yes,,off_antibiotics
2,kleb_control,,,,,,off_antibiotics
3,kleb_control,,,,yes,,off_antibiotics
4,kleb_control,,,,,,off_antibiotics
5,kleb_control,,,,,,off_antibiotics
6,kleb_control,,,,,,off_antibiotics
7,kleb_control,,,,yes,yes,off_antibiotics
-36,cdiff_before,yes,,,,yes,antibiotics
-35,cdiff_before,yes,,,,,antibiotics
-34,cdiff_before,yes,,,,,antibiotics
-33,cdiff_before,yes,,,,,antibiotics
-32,cdiff_before,yes,,,,,antibiotics
-31,cdiff_before,,,,,,off_antibiotics
-30,cdiff_before,,yes,,,yes,off_antibiotics
-29,cdiff_before,,yes,,,yes,off_antibiotics
-28,cdiff_before,,yes,,,yes,off_antibiotics
0,cdiff_after,,,yes,yes,yes,off_antibiotics
1,cdiff_after,,,,yes,,off_antibiotics
2,cdiff_after,,,,,,off_antibiotics
3,cdiff_after,,,,yes,,off_antibiotics
4,cdiff_after,,,,,,off_antibiotics
5,cdiff_after,,,,,,off_antibiotics
6,cdiff_after,,,,,,off_antibiotics
7,cdiff_after,,,,yes,yes,off_antibiotics
-6,cdiff_control,yes,,,,yes,NVM
-5,cdiff_control,yes,,,,,NVM
-4,cdiff_control,yes,,,,,NVM
-3,cdiff_control,yes,,,,,NVM
-2,cdiff_control,,,,,,off_antibiotics
-1,cdiff_control,yes,,,,,clindamycin
0,cdiff_control,,,yes,yes,yes,off_antibiotics
1,cdiff_control,,,,yes,,off_antibiotics
2,cdiff_control,,,,,,off_antibiotics
3,cdiff_control,,,,yes,,off_antibiotics
4,cdiff_control,,,,,,off_antibiotics
5,cdiff_control,,,,,,off_antibiotics
6,cdiff_control,,,,,,off_antibiotics
7,cdiff_control,,,,yes,yes,off_antibiotics
