day,group,antibiotics,gavage,challenge,sample_collection,important,treatment
-2,"PBS,BpKH6,BpSCSK",,yes,,,yes,regular
-1,"PBS,BpKH6,BpSCSK",,yes,,,yes,regular
0,"PBS,BpKH6,BpSCSK",,yes,,,yes,regular
1,"PBS,BpKH6,BpSCSK",,,,,,regular
2,"PBS,BpKH6,BpSCSK",,,,,,regular
3,"PBS,BpKH6,BpSCSK",,,,yes,,regular
4,"PBS,BpKH6,BpSCSK",,,,,,regular
5,"PBS,BpKH6,BpSCSK",,,,,,regular
6,"PBS,BpKH6,BpSCSK",,,,,,regular
7,"PBS,BpKH6,BpSCSK",,,,yes,yes,regular
8,"PBS,BpKH6,BpSCSK",,,,,,regular
9,"PBS,BpKH6,BpSCSK",,,,,,regular
10,"PBS,BpKH6,BpSCSK",,,,,,regular
11,"PBS,BpKH6,BpSCSK",,,,,,regular
12,"PBS,BpKH6,BpSCSK",,,,,,regular
13,"PBS,BpKH6,BpSCSK",,,,,,regular
14,"PBS,BpKH6,BpSCSK",,,,yes,yes,regular
