day,group,antibiotics,gavage,challenge,sample_collection,important,treatment
-4,CBBP,yes,yes,,,yes,antibiotics
-3,CBBP,yes,yes,,,yes,antibiotics
-2,CBBP,yes,yes,,,yes,antibiotics
-1,CBBP,yes,,,,,antibiotics
0,CBBP,yes,,,yes,yes,antibiotics
1,CBBP,yes,,,,,antibiotics
2,CBBP,yes,,,,,antibiotics
3,CBBP,yes,,,,,antibiotics
4,CBBP,yes,,,,,antibiotics
5,CBBP,yes,,,,,antibiotics
6,CBBP,yes,,,yes,,antibiotics
7,CBBP,yes,,,,yes,antibiotics
8,CBBP,yes,,,,,antibiotics
9,CBBP,yes,,,,,antibiotics
10,CBBP,yes,,,yes,,antibiotics
11,CBBP,yes,,,,,antibiotics
12,CBBP,yes,,,,,antibiotics
13,CBBP,yes,,,,,antibiotics
14,CBBP,yes,,,yes,yes,antibiotics
