day,group,antibiotics,gavage,challenge,sample_collection,important,treatment
28,"PBS,BpKH6,BpSCSK",,yes,,yes,yes,off_antibiotics
29,"PBS,BpKH6,BpSCSK",,yes,,,yes,off_antibiotics
30,"PBS,BpKH6,BpSCSK",,yes,,,yes,off_antibiotics
31,"PBS,BpKH6,BpSCSK",,,,yes,,off_antibiotics
32,"PBS,BpKH6,BpSCSK",,,,,,off_antibiotics
33,"PBS,BpKH6,BpSCSK",,,,yes,,off_antibiotics
34,"PBS,BpKH6,BpSCSK",,,,,,off_antibiotics
35,"PBS,BpKH6,BpSCSK",,,,,,off_antibiotics
36,"PBS,BpKH6,BpSCSK",,,,,,off_antibiotics
37,"PBS,BpKH6,BpSCSK",,,,yes,yes,off_antibiotics
38,"PBS,BpKH6,BpSCSK",,,,,,off_antibiotics
39,"PBS,BpKH6,BpSCSK",,,,,,off_antibiotics
40,"PBS,BpKH6,BpSCSK",,,,,,off_antibiotics
41,"PBS,BpKH6,BpSCSK",,,,,,off_antibiotics
42,"PBS,BpKH6,BpSCSK",,,,,,off_antibiotics
43,"PBS,BpKH6,BpSCSK",,,,,,off_antibiotics
44,"PBS,BpKH6,BpSCSK",,,,yes,yes,off_antibiotics
